기온(°C),강수량(mm),풍속(m/s),습도(%),이슬점온도(°C),일조(hr),일사(MJ/m2),시정(10m),지면온도(°C),월,일,시간
23.2,0.0,2.7,22.0,0.2,1.0,1.74,2057,28.4,4,29,17
22.0,0.0,2.3,24.0,0.4,1.0,0.98,2306,22.1,4,29,18
19.9,0.0,2.2,27.0,0.3,0.4,0.28,2239,18.6,4,29,19
18.5,0.0,2.2,27.0,-0.8,0.0,0.03,2062,16.2,4,29,20
17.6,0.0,1.1,29.0,-0.6,0.0,0.0,2189,14.8,4,29,21
16.2,0.0,0.8,32.0,-0.5,0.0,0.0,2014,13.6,4,29,22
15.6,0.0,0.8,32.0,-1.0,0.0,0.0,2159,12.8,4,29,23
14.1,0.0,0.4,39.0,0.3,0.0,0.0,2041,12.1,4,30,0
13.4,0.0,0.4,43.0,1.0,0.0,0.0,2159,11.3,4,30,1
11.6,0.0,0.5,51.0,1.7,0.0,0.0,1787,10.6,4,30,2
10.2,0.0,0.3,58.0,2.2,0.0,0.0,1516,9.9,4,30,3
10.6,0.0,1.2,54.0,1.6,0.0,0.0,1811,9.6,4,30,4
8.9,0.0,0.5,65.0,2.6,0.0,0.0,1100,9.1,4,30,5
8.6,0.0,0.2,68.0,3.0,0.0,0.0,1300,8.8,4,30,6
10.0,0.0,0.3,60.0,2.5,0.9,0.34,2000,11.4,4,30,7
12.0,0.0,0.8,54.0,2.9,1.0,1.02,2000,17.7,4,30,8
15.7,0.0,0.7,39.0,1.7,1.0,1.77,1998,24.6,4,30,9
18.4,0.0,1.1,41.0,4.8,1.0,2.48,2838,31.0,4,30,10
20.3,0.0,2.0,44.0,7.6,1.0,3.03,3120,35.8,4,30,11
22.1,0.0,3.1,42.0,8.5,1.0,3.37,2847,38.5,4,30,12
23.8,0.0,2.4,37.0,8.2,1.0,3.46,2821,41.0,4,30,13
24.7,0.0,2.4,37.0,9.0,1.0,3.34,2597,40.9,4,30,14
24.9,0.0,2.3,35.0,8.3,1.0,2.98,2845,39.0,4,30,15
26.0,0.0,2.9,32.0,8.0,1.0,2.41,3313,35.5,4,30,16
26.0,0.0,2.2,34.0,8.9,1.0,1.75,3144,30.7,4,30,17
24.6,0.0,3.1,39.0,9.7,0.9,0.92,3166,24.3,4,30,18
23.1,0.0,3.1,50.0,12.1,0.3,0.28,2951,21.7,4,30,19
21.7,0.0,2.2,58.0,13.0,0.0,0.05,2451,19.7,4,30,20
20.1,0.0,2.9,69.0,14.2,0.0,0.0,1871,18.7,4,30,21
19.2,0.0,0.9,74.0,14.4,0.0,0.0,1521,17.7,4,30,22
18.7,0.0,0.8,77.0,14.5,0.0,0.0,1297,17.0,4,30,23
18.2,0.0,1.3,79.0,14.4,0.0,0.0,1086,16.5,5,1,0
17.8,0.0,0.5,81.0,14.4,0.0,0.0,996,15.8,5,1,1
17.2,0.0,0.5,82.0,14.0,0.0,0.0,939,15.3,5,1,2
17.1,0.0,0.8,82.0,13.9,0.0,0.0,853,15.6,5,1,3
17.0,0.0,0.7,84.0,14.2,0.0,0.0,792,16.5,5,1,4
17.1,0.0,0.8,82.0,13.9,0.0,0.0,839,16.7,5,1,5
17.2,0.0,0.6,82.0,14.0,0.0,0.04,854,16.8,5,1,6
17.5,0.0,1.2,81.0,14.1,0.0,0.15,878,17.9,5,1,7
18.5,0.0,1.3,78.0,14.5,0.0,0.48,950,20.5,5,1,8
19.5,0.0,1.4,73.0,14.5,0.0,0.9,1148,23.4,5,1,9
22.7,0.0,1.8,62.0,15.0,0.6,1.84,1419,31.9,5,1,10
23.7,0.0,1.8,56.0,14.3,1.0,2.94,1603,38.0,5,1,11
25.6,0.0,3.0,50.0,14.3,1.0,3.23,1734,41.2,5,1,12
27.1,0.0,2.4,46.0,14.4,1.0,3.31,1884,42.8,5,1,13
28.6,0.0,3.3,41.0,14.0,1.0,3.22,2055,42.9,5,1,14
28.9,0.0,3.6,41.0,14.3,1.0,2.86,2246,40.7,5,1,15
28.8,0.0,3.0,42.0,14.6,1.0,2.31,2210,37.2,5,1,16
28.3,0.0,2.8,46.0,15.5,1.0,1.65,2060,32.5,5,1,17
27.2,0.0,3.3,44.0,13.8,1.0,0.93,2019,27.1,5,1,18
25.5,0.0,1.9,54.0,15.5,0.4,0.32,2091,23.9,5,1,19
23.6,0.0,1.6,62.0,15.8,0.0,0.04,1912,21.6,5,1,20
22.2,0.0,1.6,69.0,16.2,0.0,0.0,1661,20.3,5,1,21
21.0,0.0,1.3,75.0,16.3,0.0,0.0,1351,19.5,5,1,22
20.2,0.0,1.4,78.0,16.2,0.0,0.0,1186,18.8,5,1,23
19.7,0.0,1.6,80.0,16.1,0.0,0.0,1097,18.2,5,2,0
19.6,0.0,0.7,80.0,16.0,0.0,0.0,1139,18.1,5,2,1
19.7,0.0,1.2,79.0,15.9,0.0,0.0,1114,19.3,5,2,2
20.2,0.0,1.0,79.0,16.4,0.0,0.0,1192,19.6,5,2,3
20.2,0.0,2.3,81.0,16.8,0.0,0.0,816,19.6,5,2,4
20.0,0.0,1.9,83.0,17.0,0.0,0.0,763,19.6,5,2,5
19.8,0.0,1.3,83.0,16.8,0.0,0.05,771,19.6,5,2,6
20.2,0.0,1.6,82.0,17.0,0.0,0.14,898,20.2,5,2,7
20.5,0.0,1.6,78.0,16.5,0.0,0.31,1100,21.2,5,2,8
21.6,0.0,1.4,73.0,16.5,0.2,0.98,1267,26.1,5,2,9
23.2,0.0,1.2,66.0,16.4,0.7,2.04,1757,32.5,5,2,10
24.5,0.0,2.1,57.0,15.4,0.6,2.21,2177,35.1,5,2,11
25.5,0.0,2.2,53.0,15.2,0.7,2.35,2246,38.8,5,2,12
27.1,0.0,2.7,42.0,13.0,1.0,3.04,2497,42.4,5,2,13
27.0,0.0,3.5,37.0,11.0,1.0,2.59,2977,38.2,5,2,14
27.1,0.0,3.2,42.0,13.0,1.0,2.07,2671,36.9,5,2,15
27.1,0.0,2.4,41.0,12.7,1.0,1.58,2461,33.9,5,2,16
26.4,0.0,2.7,34.0,9.2,1.0,1.44,2734,29.5,5,2,17
25.8,0.0,1.7,28.0,5.8,0.0,0.5,3420,25.9,5,2,18
24.8,0.0,1.4,33.0,7.4,0.0,0.16,3299,23.5,5,2,19
23.8,0.0,0.9,38.0,8.6,0.0,0.05,3066,22.2,5,2,20
23.2,0.0,1.3,42.0,9.5,0.0,0.0,3200,21.5,5,2,21
22.7,0.0,0.8,49.0,11.4,0.0,0.0,2933,21.2,5,2,22
22.0,0.0,0.9,53.0,11.9,0.0,0.0,1938,20.0,5,2,23
21.2,0.0,1.4,51.0,10.6,0.0,0.0,2754,20.1,5,3,0
20.6,0.0,0.8,55.0,11.2,0.0,0.0,2568,18.7,5,3,1
20.0,0.0,0.3,61.0,12.2,0.0,0.0,1941,18.7,5,3,2
19.9,0.0,1.3,61.0,12.1,0.0,0.0,2005,18.8,5,3,3
19.6,0.0,0.6,60.0,11.6,0.0,0.0,2384,19.0,5,3,4
18.7,0.0,0.9,67.0,12.4,0.0,0.0,2171,18.4,5,3,5
18.5,0.0,1.2,70.0,12.9,0.0,0.03,1863,18.3,5,3,6
19.3,0.0,1.7,63.0,12.0,0.0,0.13,2326,18.8,5,3,7
19.2,0.0,0.4,65.0,12.4,0.0,0.19,2098,19.6,5,3,8
18.1,0.5,0.8,81.0,14.7,0.0,0.25,1237,19.6,5,3,9
18.3,0.6,0.9,84.0,15.5,0.0,0.39,1202,20.2,5,3,10
19.1,0.1,1.4,82.0,15.9,0.0,0.61,1304,22.7,5,3,11
20.3,0.2,1.3,77.0,16.1,0.0,1.03,3045,24.7,5,3,12
21.7,0.0,3.4,69.0,15.7,0.0,1.65,4196,26.9,5,3,13
21.9,0.0,2.5,65.0,15.0,0.2,1.64,5173,25.4,5,3,14
22.2,0.0,2.6,65.0,15.2,0.0,1.02,4773,25.1,5,3,15
22.2,0.0,2.5,65.0,15.2,0.2,1.06,4285,25.7,5,3,16
21.8,0.0,2.2,65.0,14.9,0.4,0.95,4071,24.5,5,3,17
22.2,0.0,1.6,65.0,15.2,1.0,1.04,3946,23.8,5,3,18
21.7,0.0,1.6,67.0,15.2,0.3,0.42,3360,21.1,5,3,19
21.0,0.0,1.1,71.0,15.5,0.0,0.07,2820,19.5,5,3,20
20.5,0.0,0.9,73.0,15.4,0.0,0.0,2192,18.7,5,3,21
19.7,0.0,0.8,77.0,15.5,0.0,0.0,2066,18.0,5,3,22
19.0,0.0,0.4,80.0,15.4,0.0,0.0,1394,17.3,5,3,23
18.5,0.0,0.5,82.0,15.3,0.0,0.0,964,16.8,5,4,0
17.8,0.0,0.6,85.0,15.2,0.0,0.0,878,17.2,5,4,1
18.0,0.0,0.0,85.0,15.4,0.0,0.0,860,17.7,5,4,2
18.0,0.0,0.9,84.0,15.2,0.0,0.0,1003,17.7,5,4,3
17.7,0.0,0.5,87.0,15.5,0.0,0.0,867,17.2,5,4,4
17.7,0.0,0.8,87.0,15.5,0.0,0.0,632,17.1,5,4,5
17.7,0.0,0.9,86.0,15.3,0.0,0.06,540,17.6,5,4,6
18.2,0.0,0.7,86.0,15.8,0.0,0.16,729,18.6,5,4,7
18.9,0.0,1.4,81.0,15.5,0.0,0.47,774,21.5,5,4,8
20.6,0.0,1.2,75.0,16.0,0.5,1.17,888,24.5,5,4,9
22.7,0.0,1.7,65.0,15.7,1.0,2.34,939,31.7,5,4,10
24.1,0.0,1.3,60.0,15.8,0.5,2.02,1773,30.9,5,4,11
25.2,0.0,2.0,54.0,15.2,0.3,2.07,2663,35.5,5,4,12
26.5,0.0,2.0,52.0,15.8,0.4,2.01,2585,35.8,5,4,13
26.3,0.0,2.9,50.0,15.0,0.7,2.17,2483,35.0,5,4,14
27.7,0.0,1.7,45.0,14.6,1.0,2.73,2927,39.1,5,4,15
27.0,0.0,2.4,47.0,14.7,1.0,2.35,2289,36.2,5,4,16
26.6,0.0,2.5,49.0,15.0,1.0,1.73,2090,31.6,5,4,17
24.9,0.0,2.9,47.0,12.8,0.9,0.96,1270,25.6,5,4,18
22.9,0.0,2.6,48.0,11.2,0.0,0.26,2537,22.6,5,4,19
21.2,0.0,1.8,50.0,10.3,0.0,0.04,2442,20.3,5,4,20
20.1,0.0,1.8,54.0,10.4,0.0,0.0,2720,18.9,5,4,21
18.7,0.0,1.7,62.0,11.2,0.0,0.0,2310,17.8,5,4,22
16.3,0.0,1.8,66.0,9.9,0.0,0.0,1863,16.7,5,4,23
15.2,0.0,1.2,70.0,9.7,0.0,0.0,1585,15.8,5,5,0
14.0,0.0,1.2,74.0,9.4,0.0,0.0,1333,15.1,5,5,1
13.6,0.0,1.1,74.0,9.0,0.0,0.0,1384,14.5,5,5,2
13.1,0.0,1.1,76.0,8.9,0.0,0.0,1333,14.1,5,5,3
12.6,0.0,0.8,79.0,9.0,0.0,0.0,1100,13.8,5,5,4
13.0,0.0,0.1,78.0,9.2,0.0,0.0,1100,13.6,5,5,5
12.6,0.0,1.2,79.0,9.0,0.0,0.03,1086,14.0,5,5,6
13.5,0.0,0.7,78.0,9.7,0.4,0.38,1100,16.1,5,5,7
15.5,0.0,0.5,73.0,10.6,0.8,0.95,964,20.3,5,5,8
17.1,0.0,1.0,68.0,11.1,0.3,1.14,1030,22.2,5,5,9
20.5,0.0,0.6,60.0,12.4,0.7,1.94,1236,30.9,5,5,10
21.2,0.0,1.1,57.0,12.3,0.3,1.88,1283,29.5,5,5,11
20.6,0.0,2.6,60.0,12.5,0.0,0.85,1040,23.6,5,5,12
19.6,0.0,2.8,71.0,14.1,0.0,0.36,1099,21.0,5,5,13
18.2,0.3,1.5,79.0,14.4,0.0,0.23,1270,20.2,5,5,14
17.6,0.3,2.1,83.0,14.6,0.0,0.35,1163,19.5,5,5,15
16.6,0.4,1.3,74.0,11.9,0.0,0.33,2984,18.8,5,5,16
16.2,0.5,1.2,79.0,12.5,0.0,0.21,1873,18.8,5,5,17
16.4,0.0,0.9,79.0,12.7,0.1,0.37,1791,18.7,5,5,18
16.3,0.0,0.6,81.0,13.0,0.0,0.12,1479,18.0,5,5,19
15.5,0.0,0.6,86.0,13.1,0.0,0.04,1100,16.7,5,5,20
14.8,0.0,2.2,89.0,12.9,0.0,0.0,641,15.5,5,5,21
14.3,0.0,0.6,90.0,12.6,0.0,0.0,625,14.8,5,5,22
14.3,0.0,0.7,89.0,12.5,0.0,0.0,653,14.8,5,5,23
13.8,0.0,0.6,90.0,12.1,0.0,0.0,596,14.1,5,6,0
13.8,0.0,0.8,91.0,12.3,0.0,0.0,519,14.8,5,6,1
13.5,0.0,1.0,92.0,12.2,0.0,0.0,294,15.1,5,6,2
13.1,0.0,1.4,93.0,11.9,0.0,0.0,227,15.3,5,6,3
12.4,0.0,1.4,95.0,11.6,0.0,0.0,23,15.1,5,6,4
12.0,0.0,2.1,96.0,11.3,0.0,0.0,40,15.0,5,6,5
12.2,0.0,1.0,96.0,11.5,0.0,0.02,95,14.8,5,6,6
12.6,0.0,0.8,96.0,11.9,0.0,0.15,99,15.8,5,6,7
12.3,0.0,1.7,96.0,11.6,0.0,0.29,251,16.7,5,6,8
14.1,0.0,1.3,91.0,12.6,0.0,0.74,614,19.9,5,6,9
16.5,0.0,2.3,79.0,12.8,0.6,2.04,791,28.8,5,6,10
19.0,0.0,2.7,72.0,13.8,1.0,3.1,1060,33.4,5,6,11
21.2,0.0,1.6,63.0,13.8,1.0,3.43,1183,37.5,5,6,12
23.0,0.0,1.5,55.0,13.4,1.0,3.55,1292,40.5,5,6,13
26.1,0.0,1.1,33.0,8.5,1.0,3.46,2575,41.4,5,6,14
26.1,0.0,1.3,28.0,6.1,1.0,3.11,3049,39.9,5,6,15
27.3,0.0,1.2,20.0,2.3,1.0,2.61,3425,37.0,5,6,16
26.7,0.0,3.6,24.0,4.4,1.0,1.87,2756,30.8,5,6,17
26.1,0.0,3.0,23.0,3.3,1.0,1.09,3316,25.0,5,6,18
24.8,0.0,0.6,27.0,4.5,0.7,0.4,2825,21.7,5,6,19
22.2,0.0,0.6,47.0,10.3,0.0,0.04,1028,19.7,5,6,20
21.8,0.0,2.8,39.0,7.2,0.0,0.0,1923,18.8,5,6,21
20.3,0.0,2.3,41.0,6.6,0.0,0.0,2234,17.8,5,6,22
18.7,0.0,2.3,42.0,5.5,0.0,0.0,2414,16.8,5,6,23
17.6,0.0,2.6,43.0,4.8,0.0,0.0,3444,15.8,5,7,0
17.2,0.0,3.1,41.0,3.8,0.0,0.0,3633,15.1,5,7,1
16.5,0.0,1.4,44.0,4.1,0.0,0.0,4500,14.5,5,7,2
15.8,0.0,0.8,44.0,3.5,0.0,0.0,5000,13.8,5,7,3
15.6,0.0,2.3,45.0,3.6,0.0,0.0,5800,13.3,5,7,4
15.1,0.0,1.6,46.0,3.5,0.0,0.0,5857,12.8,5,7,5
14.3,0.0,1.0,50.0,4.0,0.0,0.02,5301,12.6,5,7,6
15.3,0.0,0.9,46.0,3.7,0.9,0.44,5660,15.0,5,7,7
16.8,0.0,0.4,41.0,3.4,1.0,1.23,5166,21.6,5,7,8
20.1,0.0,3.5,26.0,0.0,1.0,2.04,2670,27.7,5,7,9
21.6,0.0,3.8,20.0,-2.3,1.0,2.69,3279,32.4,5,7,10
22.6,0.0,4.5,18.0,-2.9,1.0,3.19,3992,36.9,5,7,11
22.9,0.0,4.7,21.0,-0.6,1.0,3.57,4956,41.1,5,7,12
23.4,0.0,4.4,22.0,0.4,1.0,3.41,5139,42.0,5,7,13
24.9,0.0,2.4,23.0,2.3,1.0,3.31,5007,43.6,5,7,14
25.5,0.0,3.2,21.0,1.5,1.0,3.21,5156,40.1,5,7,15
25.1,0.0,2.6,23.0,2.4,1.0,1.85,4818,33.2,5,7,16
25.3,0.0,2.3,22.0,2.0,1.0,1.83,4714,30.0,5,7,17
24.6,0.0,2.5,20.0,0.1,0.6,0.85,4446,24.8,5,7,18
23.6,0.0,3.2,22.0,0.6,0.0,0.31,4072,22.5,5,7,19
22.5,0.0,3.1,22.0,-0.3,0.0,0.06,4243,20.7,5,7,20
21.1,0.0,3.2,23.0,-0.8,0.0,0.0,4303,19.0,5,7,21
19.7,0.0,3.0,25.0,-0.9,0.0,0.0,4124,17.8,5,7,22
18.8,0.0,3.0,25.0,-1.6,0.0,0.0,4797,16.7,5,7,23
17.7,0.0,1.9,28.0,-1.0,0.0,0.0,5501,15.6,5,8,0
17.0,0.0,1.9,26.0,-2.6,0.0,0.0,4947,15.6,5,8,1
16.1,0.0,2.8,25.0,-3.9,0.0,0.0,4535,15.1,5,8,2
15.3,0.0,2.3,26.0,-4.1,0.0,0.0,5554,14.0,5,8,3
14.8,0.0,1.9,28.0,-3.5,0.0,0.0,4483,13.4,5,8,4
14.8,0.0,0.8,29.0,-3.0,0.0,0.0,4285,14.6,5,8,5
14.5,0.0,1.8,31.0,-2.4,0.0,0.03,4989,14.3,5,8,6
15.5,0.0,1.1,29.0,-2.4,0.6,0.43,4991,15.8,5,8,7
16.6,0.0,1.4,27.0,-2.5,1.0,1.3,5192,22.8,5,8,8
18.6,0.0,1.5,24.0,-2.3,1.0,2.03,4587,29.3,5,8,9
19.8,0.0,2.4,22.0,-2.5,1.0,2.78,5398,35.0,5,8,10
21.2,0.0,2.4,21.0,-2.0,1.0,3.33,5394,40.2,5,8,11
23.2,0.0,2.3,16.0,-4.0,1.0,3.57,4794,43.4,5,8,12
23.7,0.0,1.4,20.0,-0.6,1.0,3.24,4696,40.1,5,8,13
24.8,0.0,1.5,20.0,0.2,1.0,2.92,2780,41.3,5,8,14
24.9,0.0,2.7,19.0,-0.3,0.6,1.91,5599,33.7,5,8,15
24.8,0.0,1.5,22.0,1.6,0.2,1.31,3679,31.8,5,8,16
24.2,0.0,1.0,24.0,2.3,0.0,0.74,3304,27.8,5,8,17
23.7,0.0,1.2,25.0,2.4,0.0,0.31,2436,24.9,5,8,18
23.3,0.0,1.5,25.0,2.1,0.0,0.14,3380,23.1,5,8,19
22.8,0.0,2.5,28.0,3.3,0.0,0.03,3206,21.5,5,8,20
20.8,0.0,0.4,42.0,7.4,0.0,0.0,2195,19.7,5,8,21
18.7,0.0,0.9,57.0,9.9,0.0,0.0,2950,18.8,5,8,22
15.8,1.0,1.8,78.0,11.9,0.0,0.0,898,17.7,5,8,23
15.3,3.2,1.3,81.0,12.0,0.0,0.0,863,17.5,5,9,0
14.6,1.8,1.6,90.0,12.9,0.0,0.0,563,17.5,5,9,1
14.8,2.4,2.4,92.0,13.5,0.0,0.0,526,17.2,5,9,2
14.8,1.4,2.1,92.0,13.5,0.0,0.0,757,17.2,5,9,3
15.1,0.6,1.9,92.0,13.8,0.0,0.0,561,17.2,5,9,4
15.8,0.2,1.1,90.0,14.1,0.0,0.0,1023,17.5,5,9,5
16.7,0.0,2.1,84.0,13.9,0.0,0.03,3626,17.2,5,9,6
16.8,0.3,1.9,84.0,14.0,0.0,0.09,1785,17.3,5,9,7
17.3,0.1,2.7,83.0,14.3,0.0,0.19,1871,18.1,5,9,8
17.5,0.2,3.1,84.0,14.7,0.0,0.31,1035,18.1,5,9,9
17.5,0.5,2.3,87.0,15.3,0.0,0.45,563,19.3,5,9,10
18.2,0.1,2.5,83.0,15.2,0.0,0.51,1506,19.8,5,9,11
17.6,1.2,1.7,89.0,15.7,0.0,0.41,1100,19.4,5,9,12
18.5,0.1,1.6,85.0,15.9,0.0,0.47,2776,20.5,5,9,13
18.2,0.2,1.4,86.0,15.8,0.0,0.42,1100,20.2,5,9,14
17.9,0.6,2.0,90.0,16.2,0.0,0.3,505,19.7,5,9,15
18.1,0.0,2.1,90.0,16.4,0.0,0.25,950,19.5,5,9,16
17.2,1.1,2.6,93.0,16.0,0.0,0.16,207,19.1,5,9,17
16.7,0.0,2.8,88.0,14.6,0.0,0.22,3267,18.7,5,9,18
15.9,0.0,2.3,85.0,13.3,0.0,0.2,1483,17.8,5,9,19
15.3,0.0,2.6,89.0,13.4,0.0,0.04,549,17.1,5,9,20
14.3,0.0,2.5,91.0,12.8,0.0,0.0,332,16.4,5,9,21
13.8,0.0,2.1,91.0,12.3,0.0,0.0,500,16.0,5,9,22
13.8,0.0,2.1,87.0,11.6,0.0,0.0,1556,15.7,5,9,23
13.4,0.0,1.3,91.0,11.9,0.0,0.0,711,15.6,5,10,0
13.8,0.0,0.9,88.0,11.8,0.0,0.0,2199,15.5,5,10,1
13.5,0.0,0.9,92.0,12.2,0.0,0.0,588,15.5,5,10,2
13.6,0.0,0.8,91.0,12.1,0.0,0.0,1997,15.5,5,10,3
13.5,0.0,1.4,91.0,12.0,0.0,0.0,445,15.1,5,10,4
13.5,0.0,0.8,93.0,12.3,0.0,0.0,1287,15.3,5,10,5
13.5,0.0,1.0,92.0,12.2,0.0,0.01,284,15.3,5,10,6
13.6,0.2,1.4,92.0,12.3,0.0,0.06,548,15.5,5,10,7
13.7,0.0,1.9,92.0,12.4,0.0,0.1,1424,15.8,5,10,8
14.0,0.0,1.4,91.0,12.5,0.0,0.29,1984,16.7,5,10,9
14.2,0.0,1.5,91.0,12.7,0.0,0.35,1517,17.3,5,10,10
14.6,0.0,1.8,88.0,12.6,0.0,0.42,1638,17.7,5,10,11
15.3,0.0,2.0,86.0,12.9,0.0,0.53,1546,18.7,5,10,12
16.2,0.0,1.6,84.0,13.4,0.0,0.67,1493,19.8,5,10,13
16.7,0.0,2.1,81.0,13.4,0.0,0.78,1602,19.3,5,10,14
17.4,0.0,2.1,78.0,13.5,0.2,0.94,1441,21.1,5,10,15
18.5,0.0,2.3,75.0,13.9,0.6,1.38,1111,21.6,5,10,16
18.2,0.0,2.4,76.0,13.8,0.2,0.73,1100,20.2,5,10,17
18.0,0.0,2.6,77.0,13.9,0.1,0.45,1100,19.1,5,10,18
17.6,0.0,2.1,76.0,13.3,0.4,0.32,544,17.2,5,10,19
16.5,0.0,2.4,78.0,12.6,0.0,0.04,388,15.8,5,10,20
15.3,0.0,1.4,81.0,12.0,0.0,0.0,364,14.8,5,10,21
14.7,0.0,1.1,87.0,12.5,0.0,0.0,235,14.3,5,10,22
14.5,0.0,1.1,85.0,12.0,0.0,0.0,291,14.0,5,10,23
14.3,0.0,1.6,87.0,12.1,0.0,0.0,245,14.3,5,11,0
14.1,0.0,1.5,87.0,11.9,0.0,0.0,254,14.8,5,11,1
14.3,0.0,1.6,87.0,12.1,0.0,0.0,312,14.8,5,11,2
14.5,0.0,1.7,87.0,12.3,0.0,0.0,391,14.7,5,11,3
14.8,0.0,1.2,85.0,12.2,0.0,0.0,575,14.8,5,11,4
14.5,0.0,1.2,86.0,12.1,0.0,0.0,473,14.5,5,11,5
14.3,0.0,1.0,87.0,12.1,0.0,0.05,426,14.3,5,11,6
15.1,0.0,1.3,83.0,12.2,0.0,0.28,411,16.3,5,11,7
15.4,0.0,1.9,79.0,11.7,0.1,0.61,390,17.8,5,11,8
17.3,0.0,1.7,69.0,11.5,0.7,1.6,489,23.4,5,11,9
18.7,0.0,2.4,61.0,11.0,1.0,2.47,637,26.9,5,11,10
20.5,0.0,2.5,58.0,11.9,1.0,3.0,667,29.6,5,11,11
21.2,0.0,4.1,52.0,10.9,1.0,3.26,772,30.7,5,11,12
22.5,0.0,3.0,50.0,11.5,1.0,3.29,754,31.6,5,11,13
23.8,0.0,3.3,44.0,10.8,1.0,3.28,974,33.0,5,11,14
24.8,0.0,3.4,22.0,1.6,1.0,2.68,2731,30.7,5,11,15
24.8,0.0,2.4,21.0,0.9,1.0,2.19,3508,29.1,5,11,16
24.2,0.0,3.0,22.0,1.1,1.0,1.46,3474,24.8,5,11,17
22.9,0.0,2.7,25.0,1.8,0.3,0.59,3300,21.2,5,11,18
21.7,0.0,1.3,28.0,2.3,0.0,0.17,3075,19.5,5,11,19
21.1,0.0,1.7,28.0,1.8,0.0,0.04,3233,18.0,5,11,20
20.0,0.0,1.4,38.0,5.2,0.0,0.0,2613,17.2,5,11,21
19.3,0.0,1.5,50.0,8.6,0.0,0.0,1947,17.2,5,11,22
17.3,0.0,1.9,61.0,9.6,0.0,0.0,1680,16.5,5,11,23
16.5,0.0,2.0,63.0,9.4,0.0,0.0,1257,16.1,5,12,0
15.3,0.0,1.6,69.0,9.6,0.0,0.0,1200,16.1,5,12,1
15.3,0.0,1.6,63.0,8.2,0.0,0.0,1280,15.6,5,12,2
14.6,0.0,1.9,74.0,10.0,0.0,0.0,637,15.0,5,12,3
14.1,0.0,2.2,81.0,10.8,0.0,0.0,499,14.3,5,12,4
14.0,0.0,1.7,86.0,11.6,0.0,0.0,424,13.8,5,12,5
14.1,0.0,1.8,82.0,11.0,0.0,0.05,503,13.6,5,12,6
14.3,0.0,1.9,75.0,9.9,0.6,0.38,669,15.0,5,12,7
15.3,0.0,2.7,68.0,9.4,1.0,0.98,1050,18.6,5,12,8
16.7,0.0,3.6,56.0,7.8,1.0,1.76,2071,22.7,5,12,9
18.7,0.0,2.9,50.0,8.0,1.0,2.44,2005,26.6,5,12,10
19.5,0.0,2.9,50.0,8.7,1.0,2.6,1956,29.2,5,12,11
20.4,0.0,4.0,46.0,8.3,1.0,2.81,2113,31.1,5,12,12
20.9,0.0,4.2,46.0,8.8,0.8,2.78,1989,32.0,5,12,13
20.1,0.0,3.9,51.0,9.6,0.5,1.87,1862,26.6,5,12,14
20.8,0.0,3.4,47.0,9.0,0.4,1.48,1756,28.5,5,12,15
21.7,0.0,4.1,40.0,7.4,0.8,2.16,2286,30.8,5,12,16
20.7,0.0,3.5,35.0,4.6,0.7,1.42,2533,25.7,5,12,17
19.1,0.0,4.4,37.0,4.0,1.0,1.2,2128,20.5,5,12,18
17.2,0.0,2.9,44.0,4.8,0.7,0.42,2429,17.7,5,12,19
15.8,0.0,3.0,41.0,2.5,0.0,0.03,4125,15.3,5,12,20
15.1,0.0,1.6,49.0,4.4,0.0,0.0,3625,14.5,5,12,21
14.3,0.0,1.7,52.0,4.5,0.0,0.0,3857,13.6,5,12,22
13.5,0.0,1.5,58.0,5.3,0.0,0.0,3388,13.0,5,12,23
12.6,0.0,0.9,64.0,5.9,0.0,0.0,2918,12.5,5,13,0
12.0,0.0,1.2,69.0,6.4,0.0,0.0,2360,11.8,5,13,1
11.6,0.0,1.4,71.0,6.5,0.0,0.0,2346,11.6,5,13,2
11.0,0.0,1.1,73.0,6.3,0.0,0.0,2423,11.1,5,13,3
10.8,0.0,1.1,74.0,6.3,0.0,0.0,2346,10.8,5,13,4
10.1,0.0,1.5,78.0,6.4,0.0,0.0,2124,10.3,5,13,5
10.1,0.0,1.3,78.0,6.4,0.2,0.03,1960,10.6,5,13,6
11.4,0.0,2.0,74.0,6.9,1.0,0.4,2244,12.5,5,13,7
13.3,0.0,1.7,66.0,7.0,1.0,1.07,2298,17.7,5,13,8
15.2,0.0,1.8,53.0,5.6,1.0,1.91,2870,23.7,5,13,9
17.7,0.0,1.7,45.0,5.6,1.0,2.66,3446,29.3,5,13,10
20.3,0.0,2.6,36.0,4.7,1.0,3.19,3737,34.0,5,13,11
21.8,0.0,2.7,29.0,2.9,1.0,3.51,3204,37.8,5,13,12
22.7,0.0,4.1,21.0,-0.7,1.0,3.62,3872,39.3,5,13,13
23.5,0.0,3.2,19.0,-1.4,1.0,3.48,4437,39.5,5,13,14
23.2,0.0,3.9,21.0,-0.3,1.0,3.11,3927,36.7,5,13,15
23.4,0.0,3.2,20.0,-0.8,1.0,2.61,4064,33.3,5,13,16
23.3,0.0,2.8,18.0,-2.3,1.0,1.92,4004,28.8,5,13,17
21.8,0.0,3.9,22.0,-0.8,1.0,1.14,4370,23.0,5,13,18
20.5,0.0,2.0,20.0,-3.2,0.6,0.41,5004,19.8,5,13,19
19.3,0.0,1.4,23.0,-2.3,0.0,0.06,4374,17.7,5,13,20
